Year,Edition,Card Number In set,Name,Team,Points,OnBase,Speed,Position,Handedness,Icon,Pop Up,Strikeout,Ground Ball,Fly Ball,Walk,Single,Single Plus,Double,Triple,Home Run
'01,UL,264,Vladimir Guerrero,Expos,470,9,B,LF-RF+1,R,,-,-,1-3,-,4-5,6-13,-,14-15,16-,17-20
'00,1st,339,Scott Rolen,Phillies,460,9,B,3B+3,R,,-,1-3,-,4-5,6-11,12-13,14-,15-16,-,17-20
'02,UL,189,Christian Guzman,Twins,360,10,22,SS+2,S,,-,1-,2-5,6-,7-,8-14,15-,16-17,18-19,20+
'05,UL,27,Marcus Giles,Braves,310,11,16,2B+4,R,,-,1-2,3-4,5-6,7-9,10-16,17-,18-19,-,20+
'02,UL,345,Jose Cruz,Blue Jays,300,10,19,"CF+1, LF-RF+0",S,,-,1-4,5-6,7-,8-9,10-13,14-,15-17,-,18+
'00,HRH,73,*Shawn Green,Dodgers,540,9,A,LF-RF+1,L,,-,1-,2-3,4-,5-8,9-12,13-,14-16,-,17-20
'00,1st,455,Shawn Green,Blue Jays,540,9,A,LF-RF+1,L,,-,1-,2-3,4-,5-8,9-12,13-,14-16,-,17-20
'00,1st,73,*Shawn Green,Dodgers,540,9,A,LF-RF+1,L,,-,1-,2-3,4-,5-8,9-12,13-,14-16,-,17-20
'04,UL,201,Corey Koskie,Twins,360,12,13,3B+1,L,,-,1-2,3-4,5-6,7-11,12-16,17-,18-19,-,20+
'05,UL,81,**Doug Mirabelli,Red Sox,350,11,10,C+2,R,,-,1-2,3-4,5-6,7-10,11-15,-,16-18,-,19+
'04,P,39,Mike Kinkade,Dodgers,180,10,12,"LF-RF+1, 1B+0",R,,-,1-,2-3,4-5,6-9,10-16,-,17-18,-,19+
'04,UL,267,Jason Kendall,Pirates,300,12,15,C+6,R,,-,1-,2-4,5-6,7-9,10-16,17-18,19-20,-,21+
'02,ASG,48,Junior Spivey,Diamondbacks,330,11,16,2B+0,R,,-,1-3,4-5,6-,7-9,10-14,15-16,17-18,19-,20+
'05,UL,339,Michael Young,Rangers,490,11,13,SS+2,R,,-,1-,2-3,4-6,7-8,9-15,16-,17-18,19-,20+
'01,1st,152,Larry Walker,Rockies,340,9,B,LF-RF+2,L,,-,-,1-3,-,4-9,10-15,-,16-17,18-,19-20
'01,1st,36,Andruw Jones,Braves,450,9,A,"CF+2, LF-RF+1",R,,-,1-,2-4,5-,6-8,9-13,14-,15-16,17-,18-20
'03,UL,112,**Ray Durham,Giants,380,11,18,2B+3,S,,-,1-,2-4,5-6,7-10,11-14,15-17,18-19,-,20+
'04,UL,74,**A. J. Pierzynski,Giants,300,11,12,C+7,L,,-,1-,2-4,5-6,7-8,9-16,-,17-19,-,20+
'04,UL,73,**Carl Everett,Expos,360,11,12,OF+1,S,,-,1-,2-3,4-6,7-10,11-16,-,17-18,-,19+
'03,UL,190,Brad Wilkerson,Expos,280,11,11,OF+2,L,R,-,1-3,4-5,6-,7-11,12-16,-,17-18,19-,20+
'02,UL,31,*Mike Lowell,Marlins,260,11,11,3B+2,R,,-,1-,2-,3-6,7-9,10-15,-,16-19,-,20+
'02,UL,278,Mark Kotsay,Padres,310,11,16,"CF+2, LF-RF+1",L,,-,-,1-3,4-6,7-10,11-15,16-,17-19,-,20+
'04,UL,270,Reggie Sanders,Pirates,390,10,14,LF-RF+1,R,,-,1-2,3-4,5-6,7-9,10-14,15-,16-17,-,18+
'04,P,23,Reggie Sanders,Pirates,390,10,14,LF-RF+1,R,,-,1-2,3-4,5-6,7-9,10-14,15-,16-17,-,18+
'04,UL,71,Sammy Sosa,Cubs,450,10,10,LF-RF+1,R,,-,1-2,3-,4-5,6-9,10-15,-,16-17,-,18+
'00,HRH,36,*Ken Griffey Jr.,Reds,530,9,A,"CF+2, LF-RF+1",L,,-,1-,2-,3-5,6-10,11-14,15-,16-,-,17-20
'00,1st,36,*Ken Griffey Jr.,Reds,530,9,A,"CF+2, LF-RF+1",L,,-,1-,2-,3-5,6-10,11-14,15-,16-,-,17-20
'04,UL,328,Hank Blalock,Rangers,350,11,9,3B+1,L,,-,1-,2-3,4-6,7-9,10-16,-,17-18,-,19+
'05,UL,288,Dustan Mohr,Giants,310,12,12,LF-RF+1,R,,-,1-2,3-4,5-6,7-11,12-17,-,18-19,-,20+
'02,UL,70,*Derek Jeter,Yankees,330,12,19,SS+0,R,,-,1-2,3-5,6-7,8-13,14-16,17-,18-,19-,20+
'02,ASG,37,Mike Lowell,Marlins,290,11,10,3B+2,R,,-,1-,2-,3-6,7-9,10-15,-,16-19,-,20+
'04,UL,213,Jose Vidro,Expos,330,12,10,2B+2,S,S,-,1-,2-5,6-,7-10,11-17,-,18-19,-,20+
'02,ASG,21,Alfonso Soriano,Yankees,400,10,18,2B+1,R,,-,1-4,5-,6-,7-,8-13,14-16,17-,18-,19+
'01,UL,97,Charles Johnson,White Sox,460,9,B,C+6,R,,-,1-3,4-,-,5-8,9-14,-,15-16,-,17-20
'01,1st,97,Charles Johnson,White Sox,460,9,B,C+6,R,,-,1-3,4-,-,5-8,9-14,-,15-16,-,17-20
'05,UL,337,Alfonso Soriano,Rangers,310,10,16,2B+3,R,S,-,1-2,3-4,5-6,7-8,9-14,15-16,17-18,-,19+
'04,UL,93,**Jason Lane,Astros,310,11,13,OF+1,R,R,-,1-,2-4,5-6,7-11,12-16,-,17-18,-,19+
'00,1st,348,Jason Kendall,Pirates,460,10,A,C+9,R,,-,-,1-3,4-,5-10,11-15,16-17,18-19,-,20+
'04,UL,70,**Miguel Tejada,Orioles,330,10,14,SS+2,R,,-,1-,2-3,4-5,6-8,9-14,15-,16-18,-,19+
'02,UL,31,Brian Jordan,Braves,200,10,14,LF-RF+2,R,,-,1-,2-4,5-6,7-8,9-16,-,17-18,-,19+
'02,UL,5,**Brian Jordan,Dodgers,200,10,14,LF-RF+2,R,,-,1-,2-3,4-6,7-8,9-16,-,17-18,-,19+
'00,1st,125,*John Olerud,Mariners,360,10,C,1B+1,L,,-,-,1-3,4-,5-12,13-16,-,17-18,-,19-20
'00,1st,235,Jeromy Burnitz,Brewers,470,10,B,LF-RF+1,L,,-,1-3,-,4-5,6-13,14-15,-,16-17,-,18-20
'04,UL,203,A. J. Pierzynski,Twins,350,11,10,C+7,L,,-,1-,2-4,5-6,7-8,9-16,-,17-19,-,20+
'03,UL,148,Raul Ibanez,Royals,300,10,10,1B+0,L,,-,1-,2-4,5-6,7-9,10-15,-,16-18,-,19+
'04,UL,67,Corey Patterson,Cubs,380,10,15,CF+1,L,,-,1-2,3-4,5-6,7-,8-14,15-,16-17,18-,19+
'02,ASG,35,Jose Hernandez,Brewers,320,10,14,SS+2,R,,-,1-6,-,-,7-9,10-15,-,16-17,-,18+
'04,UL,220,Jason Phillips,Mets,260,11,8,"1B+0, C+6",R,R,-,1-,2-4,5-6,7-9,10-16,-,17-19,-,20+
'01,UL,87,Sammy Sosa,Cubs,490,9,B,LF-RF+0,R,,-,1-3,-,-,4-7,8-13,-,14-15,-,16-20
'01,1st,87,Sammy Sosa,Cubs,490,9,B,LF-RF+0,R,,-,1-3,-,-,4-7,8-13,-,14-15,-,16-20
'02,UL,142,Preston Wilson,Marlins,270,10,17,OF+2,R,,-,1-4,5-6,7-,8-10,11-14,15-,16-18,-,19+
'02,UL,355,Shannon Stewart,Blue Jays,240,11,19,LF-RF+0,R,,-,-,1-4,5-6,7-9,10-16,17-,18-19,20-21,22+
'00,1st,39,Ryan Klesko,Braves,410,9,B,"LF-RF+0, 1B+0",L,,-,1-,2-3,4-5,6-9,10-14,-,15-17,-,18-20
'01,1st,136,David Segui,Indians,320,9,C,1B+0,S,,-,-,1-3,-,4-6,7-15,-,16-18,-,19-20
'02,UL,69,**Matt Lawton,Indians,270,12,16,LF-RF+1,L,,-,1-,2-7,-,8-12,13-16,17-,18-19,-,20+
'04,UL,142,Ivan Rodriguez,Marlins,320,11,12,C+10,R,,-,1-2,3-5,6-,7-10,11-16,17-,18-19,-,20+
'04,UL,64,**Jody Gerut,Indians,290,10,14,LF-RF+1,L,,-,1-,2-3,4-5,6-8,9-15,-,16-18,-,19+
'00,HRH,374,Barry Bonds,Giants,560,9,A,LF-RF+1,L,,-,-,1-,2-5,6-12,-,13-,14-15,-,16-20
'00,1st,374,Barry Bonds,Giants,560,9,A,LF-RF+1,L,,-,-,1-,2-5,6-12,-,13-,14-15,-,16-20
'01,1st,173,Cliff Floyd,Marlins,440,9,A,LF-RF+1,L,,-,1-2,3-,4-,5-8,9-12,13-14,15-17,-,18-20
'04,UL,79,Carlos Lee,White Sox,410,10,16,LF-RF+1,R,,-,1-,2-3,4-5,6-8,9-15,16-,17-18,-,19+
'01,UL,113,Ken Griffey Jr.,Reds,420,9,B,"CF+2, LF-RF+1",L,,-,1-2,-,3-4,5-11,12-15,-,16-,-,17-20
'01,1st,113,Ken Griffey Jr.,Reds,420,9,B,"CF+2, LF-RF+1",L,,-,1-2,-,3-4,5-11,12-15,-,16-,-,17-20
'03,UL,111,**Randy Winn,Mariners,380,10,19,OF+2,S,,-,1-,2-4,5-6,7-9,10-14,15-16,17-18,19-,20+
'02,ASG,13,Derek Jeter,Yankees,380,12,19,SS+0,R,,-,1-2,3-5,6-7,8-12,13-16,17-,18-19,-,20+
'05,UL,93,**Jeff Kent,Dodgers,480,10,12,2B+3,R,,-,1-,2-3,4-6,7-9,10-15,-,16-17,18-,19+
'01,1st,283,Mike Piazza,Mets,450,9,B,C+3,R,,-,-,1-,2-3,4-7,8-14,-,15-16,-,17-20
'01,UL,283,Mike Piazza,Mets,450,9,B,C+3,R,,-,-,1-,2-3,4-7,8-14,-,15-16,-,17-20
'03,SS,108,*Matt Williams,Giants,350,10,12,3B+3,R,S,-,1-2,3-4,5-6,7-8,9-16,-,17-18,-,19+
'03,UL,78,*Desi Relaford,Royals,320,10,18,"2B+4, 3B+1",S,,-,-,1-3,4-5,6-9,10-15,16-17,18-,19-,20+
'05,UL,183,Lyle Overbay,Brewers,300,11,10,1B+0,L,,-,1-2,3-4,5-6,7-10,11-16,-,17-19,-,20+
'04,UL,255,Marlon Byrd,Phillies,350,11,12,CF+1,R,R,-,1-,2-4,5-,6-8,9-15,16-17,18-19,-,20+
'05,UL,68,Aramis Ramirez,Cubs,450,11,8,3B+0,R,,-,1-,2-3,4-6,7-9,10-16,-,17-18,-,19+
'04,UL,250,Miguel Tejada,Athletics,360,10,12,SS+2,R,,-,1-,2-3,4-5,6-8,9-14,15-,16-18,-,19+
'05,UL,328,Tino Martinez,Devil Rays,260,10,10,1B+0,L,,-,1-,2-3,4-5,6-10,11-16,-,17-18,-,19+
'05,UL,70,**Tino Martinez,Yankees,320,10,10,1B+0,L,,-,1-,2-3,4-5,6-10,11-16,-,17-18,-,19+
'01,1st,137,Jim Thome,Indians,310,9,C,1B+0,L,,-,1-3,-,-,4-12,13-15,-,16-17,-,18-20
'01,1st,86,*Erubiel Durazo,Diamondbacks,320,9,C,"LF-RF+1, 1B+0",L,,-,1-2,-,3-,4-10,11-16,-,17-,-,18-20
'05,UL,156,Ken Harvey,Royals,270,10,9,1B+1,R,,-,1-2,3-5,6-,7-8,9-16,-,17-18,-,19+
'04,P,22,Rafael Furcal,Braves,360,10,20,SS+4,S,,-,1-,2-4,5-6,7-9,10-14,15-16,17-18,19-,20+
'04,UL,24,Rafael Furcal,Braves,360,10,20,SS+4,S,,-,1-,2-4,5-6,7-9,10-14,15-16,17-18,19-,20+
'03,UL,168,Jose Hernandez,Brewers,370,10,10,SS+4,R,,-,1-2,3-4,5-,6-9,10-16,-,17-18,-,19+
'02,UL,56,**Derrek Lee,Marlins,220,10,15,1B+1,R,,-,1-3,4-,5-6,7-10,11-16,-,17-18,-,19+
'03,UL,71,**Lyle Overbay,Diamondbacks,240,11,13,1B+0,L,R,-,1-,2-4,5-7,8-9,10-16,-,17-19,-,20+
'05,UL,128,Miguel Cabrera,Marlins,400,11,11,LF-RF+0,R,,-,1-2,3-4,5-6,7-10,11-16,-,17-18,-,19+
'03,UL,23,Junior Spivey,Diamondbacks,350,11,13,2B+2,R,R,-,1-,2-3,4-5,6-9,10-15,16-17,18-19,-,20+
'05,UL,64,Derrek Lee,Cubs,300,10,13,1B+0,R,,-,1-2,3-4,5-6,7-10,11-15,16-,17-18,-,19+
'00,DS,451,Carlos Delgado,Blue Jays,410,9,C,1B+0,L,,-,1-2,-,3-5,6-11,12-14,-,15-16,-,17-20
'00,1st,451,Carlos Delgado,Blue Jays,410,9,C,1B+0,L,,-,1-2,-,3-5,6-11,12-14,-,15-16,-,17-20
'02,UL,79,**Morgan Ensberg,Astros,350,11,15,3B+1,R,,-,1-4,5-6,7-,8-10,11-16,-,17-18,-,19+
'02,UL,87,Aaron Boone,Reds,260,11,15,3B+1,R,,-,1-3,4-5,6-7,8-10,11-16,-,17-18,-,19+
'03,UL,65,*Wil Cordero,Expos,260,11,10,1B+1,R,,-,1-2,3-4,5-6,7-9,10-17,-,18-19,-,20+
'00,1st,441,Ivan Rodriguez,Rangers,450,8,A,C+11,R,,-,-,1-3,4-,-,5-12,13-14,15-16,-,17-20
'01,1st,101,Magglio Ordonez,White Sox,420,9,A,LF-RF+1,R,,-,-,1-2,3-4,5-7,8-14,15-,16-17,-,18-20
'02,UL,76,*Bobby Abreu,Phillies,450,11,18,LF-RF+1,L,,-,1-3,4-,5-6,7-12,13-14,15-,16-19,-,20+
'00,HRH,400,Alex Rodriguez,Mariners,510,8,A,SS+5,R,,-,1-,2-,3-4,5-9,10-12,13-,14-,-,15-20
'00,1st,400,Alex Rodriguez,Mariners,510,8,A,SS+5,R,,-,1-,2-,3-4,5-9,10-12,13-,14-,-,15-20
'04,UL,76,**Juan Gonzalez,Royals,440,10,9,LF-RF+1,R,,-,1-2,3-4,5-6,7-8,9-15,-,16-17,-,18+
'04,UL,331,Juan Gonzalez,Rangers,370,10,9,LF-RF+1,R,,-,1-2,3-4,5-6,7-8,9-15,-,16-17,-,18+
'03,UL,295,Ivan Rodriguez,Rangers,360,11,11,C+6,R,,-,1-2,3-4,5-6,7-8,9-16,-,17-19,-,20+
'01,1st,70,*David Segui,Orioles,300,9,C,1B+0,S,,-,-,1-3,-,4-6,7-16,-,17-18,-,19-20
'04,UL,41,Luis Matos,Orioles,270,11,14,CF+2,R,,-,1-2,3-4,5-6,7-9,10-16,17-,18-19,-,20+
'03,UL,80,*Rod Barajas,Diamondbacks,330,11,10,C+4,R,,-,1-,2-3,4-6,7-8,9-15,-,16-19,-,20+
'04,UL,49,*Miguel Cabrera,Marlins,390,10,13,LF-RF+0,R,,-,1-2,3-,4-5,6-10,11-16,-,17-,-,18+
'00,1st,216,Mike Sweeney,Royals,340,9,B,1B+0,R,,-,-,1-3,4-,5-8,9-15,-,16-18,-,19-20
'05,UL,215,Mike Piazza,Mets,310,10,8,"C+5, 1B+0",R,,-,1-,2-3,4-5,6-10,11-16,-,17-18,-,19+
'02,UL,25,*Steve Cox,Devil Rays,170,10,10,1B+0,L,,-,1-4,5-6,7-,8-11,12-16,-,17-,-,18+
'03,UL,86,*Kenny Lofton,Pirates,380,11,20,CF+2,L,,-,1-,2-4,5-6,7-9,10-15,16-17,18-19,20-,21+
'04,UL,287,Andres Galarraga,Giants,260,10,9,1B+0,R,,-,1-,2-3,4-6,7-8,9-16,-,17-18,-,19+
'02,UL,3,*Raul Mondesi,Blue Jays,240,10,19,LF-RF+1,R,,-,1-3,4-,5-6,7-12,13-16,-,17-,-,18+
'02,UL,73,**Rondell White,Yankees,230,11,12,LF-RF+1,R,,-,1-2,3-6,7-,8-10,11-16,-,17-18,-,19+
'02,UL,1,Garret Anderson,Angels,220,9,15,LF-RF+2,L,,-,1-,2-4,5-6,-,7-14,15-,16-17,-,18+
'03,CC,120,*Brooks Robinson,Orioles,600,11,15,3B+5,R,G S V,-,1-,2-4,5-6,7-10,11-18,-,19-,-,20+
'03,UL,212,Robin Ventura,Yankees,260,11,10,3B+2,L,,-,1-2,3-4,5-6,7-12,13-17,-,18-,-,19+
'05,UL,190,Torii Hunter,Twins,310,9,18,CF+3,R,G,-,1-,2-3,4-5,6-8,9-14,15-,16-18,-,19+
'03,P,32,Steve Finley,Diamondbacks,350,10,14,CF+1,L,,-,1-,2-3,4-5,6-9,10-14,15-16,17-18,-,19+
'03,UL,16,Steve Finley,Diamondbacks,350,10,14,CF+1,L,,-,1-,2-3,4-5,6-9,10-14,15-16,17-18,-,19+
'05,UL,154,**Jose Hernandez,Indians,260,11,10,2B+3,R,,-,1-3,4-5,6-7,8-11,12-16,-,17-18,-,19+
'04,UL,288,Marquis Grissom,Giants,370,11,13,CF+1,R,,-,1-,2-4,5-6,7-,8-15,16-17,18-19,-,20+
'00,1st,242,David Nilsson,Brewers,450,10,C,C+4,L,,-,1-,2-,3-5,6-10,11-16,-,17-,-,18-20
'04,P,15,Juan Pierre,Marlins,280,11,24,CF+1,L,SB,-,-,1-4,5-,6-8,9-14,15-18,19-20,-,21+
'04,UL,140,Juan Pierre,Marlins,280,11,24,CF+1,L,SB,-,-,1-4,5-,6-8,9-14,15-18,19-20,-,21+
'00,1st,128,*Jim Edmonds,Cardinals,380,9,B,OF+2,L,,-,1-2,3-,4-,5-8,9-15,-,16-18,-,19-20
'05,UL,30,Eli Marrero,Braves,250,12,10,LF-RF+1,R,,-,1-2,3-4,5-7,8-10,11-17,-,18-19,-,20+
'05,UL,312,Edgar Renteria,Cardinals,340,10,16,SS+4,R,,-,1-,2-3,4-5,6-8,9-15,16-,17-19,-,20+
'01,P,296,Dave Justice,Yankees,420,9,B,LF-RF+1,L,,-,1-,2-3,4-,5-10,11-14,-,15-16,-,17-20
'01,UL,306,Bernie Williams,Yankees,430,9,B,OF+1,S,,-,-,1-4,-,5-8,9-13,14-,15-16,17-,18-20
'01,1st,306,Bernie Williams,Yankees,430,9,B,OF+1,S,,-,-,1-4,-,5-8,9-13,14-,15-16,17-,18-20
'01,1st,296,Dave Justice,Yankees,420,9,B,LF-RF+1,L,,-,1-,2-3,4-,5-10,11-14,-,15-16,-,17-20
'01,1st,144,Jeffrey Hammonds,Rockies,380,9,A,LF-RF+1,R,,-,1-,-,2-3,4-6,7-15,16-,17-18,-,19-20
'04,UL,101,*Mark Loretta,Padres,310,11,11,2B+3,R,,-,1-,2-4,5-6,7-9,10-16,-,17-19,-,20+
'00,1st,409,Ray Lankford,Cardinals,410,9,A,LF-RF+2,L,,-,1-4,-,5-,6-9,10-14,15-,16-18,-,19-20
'02,UL,32,**Jeff Cirillo,Mariners,280,10,17,3B+3,R,,-,-,1-4,5-,6-7,8-16,17-,18-19,-,20+
'02,UL,69,Bill Mueller,Cubs,240,12,13,3B+1,S,,-,-,1-4,5-6,7-12,13-18,-,19-,-,20+
'05,UL,83,Ryan Freel,Reds,170,11,21,"3B+3, OF+1",R,,-,1-,2-4,5-6,7-11,12-16,17-18,19-,20-,21+
'05,UL,84,**Richie Sexson,Mariners,240,9,10,1B+1,R,,-,1-2,3-4,5-6,7-11,12-14,-,15-16,-,17+
'01,1st,132,*Fernando Tatis,Expos,370,9,B,3B+2,R,,-,1-3,-,4-,5-11,12-14,15-,16-17,-,18-20
'02,UL,80,**Mo Vaughn,Mets,280,11,10,1B+0,L,,-,1-4,5-,6-7,8-12,13-17,-,18-,-,19+
'01,UL,274,Jose Vidro,Expos,400,9,B,2B+3,S,,-,-,1-3,4-,5-6,7-14,-,15-18,-,19-20
'01,1st,274,Jose Vidro,Expos,400,9,B,2B+3,S,,-,-,1-3,4-,5-6,7-14,-,15-18,-,19-20
'00,1st,18,*Will Clark,Orioles,340,9,B,1B+0,L,,-,1-,2-,3-4,5-9,10-15,-,16-18,-,19-20
'04,UL,189,Geoff Jenkins,Brewers,340,11,8,LF-RF+0,L,,-,1-2,3-4,5-6,7-10,11-16,-,17-18,-,19+
'02,UL,179,Jeromy Burnitz,Brewers,220,10,13,LF-RF+1,L,,-,1-4,5-,6-,7-12,13-15,-,16-17,-,18+
'02,UL,11,**Jeromy Burnitz,Mets,220,10,13,LF-RF+1,L,,-,1-4,5-,6-,7-12,13-15,-,16-17,-,18+
'03,UL,178,Corey Koskie,Twins,260,11,12,3B+2,L,,-,1-2,3-4,5-6,7-11,12-15,16-,17-19,-,20+
'03,P,40,Corey Koskie,Twins,260,11,12,3B+2,L,,-,1-2,3-4,5-6,7-11,12-15,16-,17-19,-,20+
'02,UL,7,*Shannon Stewart,Blue Jays,230,11,19,CF+0,R,,-,-,1-4,5-6,7-9,10-16,17-,18-20,21-,22+
'04,UL,17,*Edgar Renteria,Cardinals,310,11,16,SS+2,R,,-,1-,2-4,5-6,7-10,11-14,15-17,18-19,-,20+
'04,P,33,Hee Seop Choi,Cubs,100,11,10,1B+1,L,,-,1-3,4-5,6-,7-12,13-16,-,17-19,-,20+
'05,UL,25,Julio Franco,Braves,180,11,10,1B+1,R,,-,1-2,3-5,6-,7-10,11-17,-,18-19,-,20+
'04,UL,45,*Milton Bradley,Dodgers,360,10,15,CF+1,S,,-,1-,2-3,4-5,6-10,11-15,-,16-18,-,19+
'00,1st,45,*Jeff Cirillo,Rockies,390,10,B,3B+3,R,,-,1-,2-,3-4,5-8,9-17,-,18-19,-,20+
'01,1st,187,Lance Berkman,Astros,400,9,B,LF-RF+1,S,,-,1-2,3-,-,4-10,11-14,15-,16-17,-,18-20
'05,UL,42,**Jason Kendall,Athletics,250,12,13,C+6,R,,-,1-,2-5,6-7,8-10,11-17,18-,19-20,-,21+
'02,UL,51,**Aaron Rowand,White Sox,230,12,14,"LF-RF+1, CF+1",R,,-,1-4,5-7,-,8-12,13-17,18-,19-,-,20+
'01,1st,335,Scott Rolen,Phillies,390,8,B,3B+3,R,,-,1-,-,2-3,4-6,7-11,12-,13-15,16-,17-20
'01,UL,335,Scott Rolen,Phillies,390,8,B,3B+3,R,,-,1-,-,2-3,4-6,7-11,12-,13-15,16-,17-20
'00,1st,61,*Moises Alou,Astros,470,9,B,LF-RF+0,R,,-,-,1-,2-4,5-8,9-13,14-,15-16,-,17-20
'02,UL,241,Jeremy Giambi,Athletics,240,12,10,LF-RF+0,L,,-,1-3,4-5,6-,7-12,13-17,-,18-19,-,20+
'05,UL,285,Ray Durham,Giants,360,10,13,2B+3,S,,-,1-,2-3,4-5,6-9,10-14,15-16,17-18,19-,20+
'05,UL,28,Andruw Jones,Braves,260,10,15,CF+3,R,G,-,1-2,3-4,5-6,7-11,12-16,-,17-18,-,19+
'03,UL,101,**Mark Teixeira,Rangers,330,10,12,3B+1,S,R,-,1-,2-,3-5,6-9,10-16,-,17-,18-,19+
'04,UL,27,*Gary Sheffield,Yankees,260,12,10,LF-RF+1,R,,-,1-,2-4,5-6,7-12,13-18,-,19-,-,20+
'05,UL,237,Mark Kotsay,Athletics,350,11,16,CF+1,L,,-,1-,2-3,4-6,7-9,10-16,-,17-19,-,20+
'03,UL,125,Randall Simon,Tigers,260,10,8,1B+1,L,,-,1-,2-5,6-7,-,8-16,-,17-18,-,19+
'04,UL,216,Cliff Floyd,Mets,230,11,13,LF-RF+1,L,,-,1-,2-4,5-7,8-11,12-16,-,17-18,-,19+
'03,UL,256,Reggie Sanders,Giants,280,9,15,LF-RF+2,R,,-,1-2,3-,4-5,6-9,10-14,15-,16-17,18-,19+
'01,UL,37,Chipper Jones,Braves,400,9,B,3B+1,S,,-,-,1-2,3-,4-9,10-14,15-,16-17,-,18-20
'01,1st,37,Chipper Jones,Braves,400,9,B,3B+1,S,,-,-,1-2,3-,4-9,10-14,15-,16-17,-,18-20
'03,UL,81,**Scott Spiezio,Angels,270,11,11,1B+0,S,,-,1-,2-3,4-6,7-10,11-17,-,18-19,-,20+
'04,UL,162,Aaron Guiel,Royals,320,10,10,OF+1,L,,-,1-,2-3,4-5,6-9,10-15,-,16-18,-,19+
'02,UL,45,*Ray Durham,White Sox,350,10,20,2B+3,S,,-,1-,2-3,4-6,7-10,11-14,15-,16-18,19-,20+
'00,1st,285,Rickey Henderson,Mets,450,10,A,LF-RF+1,R,,-,1-,2-,3-,4-10,11-15,16-17,18-19,-,20+
'05,UL,147,Jeff Kent,Astros,430,10,12,2B+2,R,,-,1-,2-3,4-6,7-9,10-15,-,16-17,18-,19+
'01,1st,169,*Ichiro Suzuki,Mariners,400,10,A,LF-RF+2,L,,-,-,1-2,3-4,5-8,9-18,-,19-,-,20+
'03,UL,181,A. J. Pierzynski,Twins,400,11,9,C+5,L,,-,1-,2-3,4-5,6-7,8-16,-,17-19,20-,21+
'01,1st,203,Jermaine Dye,Royals,370,9,C,LF-RF+1,R,,-,1-,2-,3-,4-7,8-14,-,15-17,-,18-20
'00,1st,320,John Jaha,Athletics,400,10,C,DH,R,,-,1-2,3-,4-,5-13,14-16,-,17-,-,18-20
'00,FS,113,Sean Casey,Reds,320,9,C,1B+0,L,,-,1-,2-3,4-,5-7,8-15,-,16-18,-,19-20
'00,1st,113,Sean Casey,Reds,320,9,C,1B+0,L,,-,1-,2-3,4-,5-7,8-15,-,16-18,-,19-20
'03,UL,289,Randy Winn,Devil Rays,340,10,18,CF+2,S,,-,1-,2-4,5-6,7-9,10-14,15-16,17-18,19-,20+
'05,UL,100,**Scott Podsednik,White Sox,300,10,24,CF+2,L,,-,1-,2-4,5-6,7-9,10-15,16-17,18-,19-,20+
'02,UL,232,Jorge Posada,Yankees,250,11,11,C+5,S,,-,1-4,5-,6-7,8-11,12-16,-,17-18,-,19+
'03,UL,64,Mark Bellhorn,Cubs,290,11,12,"2B+1, 3B+0",S,,-,1-3,4-,5-6,7-12,13-16,-,17-18,-,19+
'05,UL,132,Mike Lowell,Marlins,430,10,11,3B+1,R,,-,-,1-2,3-5,6-9,10-15,-,16-18,-,19+
'00,1st,367,Reggie Sanders,Padres,470,9,A,LF-RF+1,R,,-,1-2,3-,4-5,6-10,11-13,14-15,16-,17-,18-20
'01,1st,34,Andres Galarraga,Braves,300,8,B,1B+0,R,,-,1-2,3-,-,4-6,7-14,-,15-16,-,17-20
'02,UL,248,Miguel Tejada,Athletics,250,10,17,SS+2,R,,-,1-,2-5,6-7,8-10,11-16,-,17-,-,18+
'02,UL,8,*DAVID ECKSTIEN,Angels,310,11,20,SS+3,R,,-,1-,2-5,6-,7-11,12-17,18-,19-24,25-,26+
'00,1st,228,Gary Sheffield,Dodgers,460,10,B,LF-RF+0,R,,-,-,1-2,3-5,6-11,12-17,-,-,-,18-20
'00,DS,228,Gary Sheffield,Dodgers,460,10,B,LF-RF+0,R,,-,-,1-2,3-5,6-11,12-17,-,-,-,18-20
'02,UL,27,**Robin Ventura,Yankees,230,11,11,3B+3,L,,-,1-3,4-5,6-7,8-13,14-17,-,18-,-,19+
'03,UL,227,Pat Burrell,Phillies,370,11,8,LF-RF+0,R,,-,1-2,3-4,5-6,7-11,12-16,-,17-18,-,19+
'02,UL,75,**Desi Relaford,Mariners,290,11,15,"SS+3, 2B+2",S,,-,1-3,4-,5-7,8-10,11-15,16-,17-19,-,20+
'01,1st,66,Carl Everett,Red Sox,460,9,B,OF+1,S,,-,1-4,5-,-,6-9,10-13,14-,15-16,-,17-20
'03,UL,90,*Todd Walker,Red Sox,410,11,10,2B+2,L,,-,-,1-3,4-5,6-8,9-17,-,18-19,-,20+
'02,UL,97,Dmitri Young,Reds,240,10,15,"LF-RF+1, 3B+1",S,,-,-,1-4,5-6,7-,8-16,-,17-18,-,19+
'02,UL,38,**Dmitri Young,Tigers,240,10,15,"LF-RF+1, 3B+1",S,,-,-,1-5,6-,7-,8-16,-,17-18,-,19+
'02,UL,210,Jose Vidro,Expos,270,11,14,2B+1,S,,-,-,1-4,5-6,7-8,9-16,-,17-19,-,20+
